"","unknown","joy","sadness","anger","surprise","fear","disgust"
"classjsdisplayurlfbmecvkahkbspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmedckpulrspanspan",0,1,0,0,0,0,0
"classjsdisplayurlfbmedgdzmuspanspan",2,0,0,0,0,0,0
"classjsdisplayurlfbmedlulfhnspanspan",2,0,0,0,0,0,0
"classjsdisplayurlfbmeduehqxlspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeehyygmspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmefzknhespanspan",0,1,0,0,0,0,0
"classjsdisplayurlfbmehfuumxgspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmehzvbsnbtspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeibodrdibspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeigpnmvspanspan",6,0,0,0,0,0,0
"classjsdisplayurlfbmeikmispanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeiknsbspanspan",0,4,0,0,0,0,0
"classjsdisplayurlfbmejfzdbjzspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmejsanpnsnspanspan",0,1,0,0,0,0,0
"classjsdisplayurlfbmejtbabanspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmejunwwrzspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmekbyvgvmspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmelrqplespanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmemvomcspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmenhppcsfjspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmenmukwpxyspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmenygohzsvspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeqctyiyyhspanspan",2,0,0,0,0,0,0
"classjsdisplayurlfbmeqzyyfkkkspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmerhglyxspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmerxmwspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmesqewmqdspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmesxwmfspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmethkmouocspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmetknvvsespanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeugmuruspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmewccispanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmewislpimspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeyaybqkspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeyonlxgfnspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeyxhkvyhzspanspan",1,0,0,0,0,0,0
"classjsdisplayurlgooglfbrzamspanspan",1,0,0,0,0,0,0
"classjsdisplayurlgooglfbwubxjspanspan",1,0,0,0,0,0,0
"classjsdisplayurlgooglkbuamspanspan",0,0,0,1,0,0,0
"classjsdisplayurlgoogltezcwispanspan",1,0,0,0,0,0,0
"classjsdisplayurlgoogluwtqespanspan",0,1,0,0,0,0,0
"classjsdisplayurlgooglxjoexspanspan",1,0,0,0,0,0,0
"classjsdisplayurlgooglymkmtvspanspan",1,0,0,0,0,0,0
"classjsdisplayurliftttcxjqspanspan",1,0,0,0,0,0,0
"classjsdisplayurliftttjeqxxspanspan",1,0,0,0,0,0,0
"classjsdisplayurliftttjfxyspanspan",1,0,0,0,0,0,0
"classjsdisplayurllivetkmycutuspanspan",1,0,0,0,0,0,0
